Year,Area,ANZSIC06,Measure,Value,Flags
"2018","Canterbury Region","Total Industry","Employee Count",303600,
"2018","Canterbury Region","Total Industry","Geographic Units",72237,
"2018","Canterbury Region","A Agriculture, Forestry and Fishing","Employee Count",16300,
"2018","Canterbury Region","A Agriculture, Forestry and Fishing","Geographic Units",9843,
"2018","Canterbury Region","B Mining","Employee Count",330,
"2018","Canterbury Region","B Mining","Geographic Units",78,
"2018","Canterbury Region","C Manufacturing","Employee Count",36000,
"2018","Canterbury Region","C Manufacturing","Geographic Units",3147,
"2018","Canterbury Region","D Electricity, Gas, Water and Waste Services","Employee Count",2150,
"2018","Canterbury Region","D Electricity, Gas, Water and Waste Services","Geographic Units",216,
"2018","Canterbury Region","E Construction","Employee Count",30900,
"2018","Canterbury Region","E Construction","Geographic Units",8976,
"2018","Canterbury Region","F Wholesale Trade","Employee Count",15800,
"2018","Canterbury Region","F Wholesale Trade","Geographic Units",2766,
"2018","Canterbury Region","G Retail Trade","Employee Count",30500,
"2018","Canterbury Region","G Retail Trade","Geographic Units",4329,
"2018","Canterbury Region","H Accommodation and Food Services","Employee Count",21300,
"2018","Canterbury Region","H Accommodation and Food Services","Geographic Units",3096,
"2018","Canterbury Region","I Transport, Postal and Warehousing","Employee Count",13900,
"2018","Canterbury Region","I Transport, Postal and Warehousing","Geographic Units",2184,
"2018","Canterbury Region","J Information Media and Telecommunications","Employee Count",3550,
"2018","Canterbury Region","J Information Media and Telecommunications","Geographic Units",423,
"2018","Canterbury Region","K Financial and Insurance Services","Employee Count",5300,
"2018","Canterbury Region","K Financial and Insurance Services","Geographic Units",4338,
"2018","Canterbury Region","L Rental, Hiring and Real Estate Services","Employee Count",5000,
"2018","Canterbury Region","L Rental, Hiring and Real Estate Services","Geographic Units",14997,
"2018","Canterbury Region","M Professional, Scientific and Technical Services","Employee Count",23100,
"2018","Canterbury Region","M Professional, Scientific and Technical Services","Geographic Units",6459,
"2018","Canterbury Region","N Administrative and Support Services","Employee Count",15500,
"2018","Canterbury Region","N Administrative and Support Services","Geographic Units",2205,
"2018","Canterbury Region","O Public Administration and Safety","Employee Count",12600,
"2018","Canterbury Region","O Public Administration and Safety","Geographic Units",495,
"2018","Canterbury Region","P Education and Training","Employee Count",22900,
"2018","Canterbury Region","P Education and Training","Geographic Units",1263,
"2018","Canterbury Region","Q Health Care and Social Assistance","Employee Count",33400,
"2018","Canterbury Region","Q Health Care and Social Assistance","Geographic Units",2916,
"2018","Canterbury Region","R Arts and Recreation Services","Employee Count",5300,
"2018","Canterbury Region","R Arts and Recreation Services","Geographic Units",1320,
"2018","Canterbury Region","S Other Services","Employee Count",9600,
"2018","Canterbury Region","S Other Services","Geographic Units",3183,
"2018","Canterbury Region","A01 Agriculture","Employee Count",12100,
"2018","Canterbury Region","A01 Agriculture","Geographic Units",8070,
"2018","Canterbury Region","A02 Aquaculture","Employee Count",160,
"2018","Canterbury Region","A02 Aquaculture","Geographic Units",24,
"2018","Canterbury Region","A03 Forestry and Logging","Employee Count",260,
"2018","Canterbury Region","A03 Forestry and Logging","Geographic Units",432,
"2018","Canterbury Region","A04 Fishing, Hunting and Trapping","Employee Count",720,
"2018","Canterbury Region","A04 Fishing, Hunting and Trapping","Geographic Units",174,
"2018","Canterbury Region","A05 Agriculture, Forestry and Fishing Support Services","Employee Count",3050,
"2018","Canterbury Region","A05 Agriculture, Forestry and Fishing Support Services","Geographic Units",1143,
"2018","Canterbury Region","B06 Coal Mining","Employee Count",35,
"2018","Canterbury Region","B06 Coal Mining","Geographic Units",3,
"2018","Canterbury Region","B08 Metal Ore Mining","Employee Count",12,
"2018","Canterbury Region","B08 Metal Ore Mining","Geographic Units",12,
"2018","Canterbury Region","B09 Non-Metallic Mineral Mining and Quarrying","Geographic Units",42,
"2018","Canterbury Region","B09 Non-Metallic Mineral Mining and Quarrying","Employee Count",230,
"2018","Canterbury Region","B10 Exploration and Other Mining Support Services","Geographic Units",21,
"2018","Canterbury Region","B10 Exploration and Other Mining Support Services","Employee Count",60,
"2018","Canterbury Region","C11 Food Product Manufacturing","Geographic Units",408,
"2018","Canterbury Region","C11 Food Product Manufacturing","Employee Count",12300,
"2018","Canterbury Region","C12  Beverage and Tobacco Product Manufacturing","Geographic Units",96,
"2018","Canterbury Region","C12  Beverage and Tobacco Product Manufacturing","Employee Count",700,
"2018","Canterbury Region","C13 Textile, Leather, Clothing and Footwear Manufacturing","Geographic Units",219,
"2018","Canterbury Region","C13 Textile, Leather, Clothing and Footwear Manufacturing","Employee Count",1450,
"2018","Canterbury Region","C14 Wood Product Manufacturing","Geographic Units",282,
"2018","Canterbury Region","C14 Wood Product Manufacturing","Employee Count",2250,
"2018","Canterbury Region","C15 Pulp, Paper and Converted Paper Product Manufacturing","Geographic Units",18,
"2018","Canterbury Region","C15 Pulp, Paper and Converted Paper Product Manufacturing","Employee Count",360,
"2018","Canterbury Region","C16 Printing","Geographic Units",141,
"2018","Canterbury Region","C16 Printing","Employee Count",970,
"2018","Canterbury Region","C17 Petroleum and Coal Product Manufacturing","Geographic Units",15,
"2018","Canterbury Region","C17 Petroleum and Coal Product Manufacturing","Employee Count",55,
"2018","Canterbury Region","C18 Basic Chemical and Chemical Product Manufacturing","Geographic Units",87,
"2018","Canterbury Region","C18 Basic Chemical and Chemical Product Manufacturing","Employee Count",940,
"2018","Canterbury Region","C19 Polymer Product and Rubber Product Manufacturing","Geographic Units",102,
"2018","Canterbury Region","C19 Polymer Product and Rubber Product Manufacturing","Employee Count",1400,
"2018","Canterbury Region","C20 Non-Metallic Mineral Product Manufacturing","Geographic Units",150,
"2018","Canterbury Region","C20 Non-Metallic Mineral Product Manufacturing","Employee Count",1650,
"2018","Canterbury Region","C21 Primary Metal and Metal Product Manufacturing","Geographic Units",30,
"2018","Canterbury Region","C21 Primary Metal and Metal Product Manufacturing","Employee Count",390,
"2018","Canterbury Region","C22 Fabricated Metal Product Manufacturing","Geographic Units",441,
"2018","Canterbury Region","C22 Fabricated Metal Product Manufacturing","Employee Count",3900,
"2018","Canterbury Region","C23 Transport Equipment Manufacturing","Geographic Units",183,
"2018","Canterbury Region","C23 Transport Equipment Manufacturing","Employee Count",2800,
"2018","Canterbury Region","C24 Machinery and Equipment Manufacturing","Geographic Units",624,
"2018","Canterbury Region","C24 Machinery and Equipment Manufacturing","Employee Count",5400,
"2018","Canterbury Region","C25 Furniture and Other Manufacturing","Geographic Units",354,
"2018","Canterbury Region","C25 Furniture and Other Manufacturing","Employee Count",1300,
"2018","Canterbury Region","D26  Electricity Supply","Geographic Units",27,
