Year,Area,ANZSIC06,Measure,Value,Flags
"2018","Timaru District","Total Industry","Geographic Units",5550,
"2018","Timaru District","Total Industry","Employee Count",23900,
"2018","Timaru District","A Agriculture, Forestry and Fishing","Geographic Units",1158,
"2018","Timaru District","A Agriculture, Forestry and Fishing","Employee Count",2350,
"2018","Timaru District","B Mining","Geographic Units",9,
"2018","Timaru District","B Mining","Employee Count",45,
"2018","Timaru District","S954 Religious Services","Geographic Units",15,
"2018","Timaru District","S954 Religious Services","Employee Count",35,
"2018","Timaru District","S955 Civic, Professional and Other Interest Group Services","Geographic Units",36,
"2018","Timaru District","S955 Civic, Professional and Other Interest Group Services","Employee Count",95,
"2018","Timaru District","S951 Personal Care Services","Geographic Units",54,
"2018","Timaru District","S951 Personal Care Services","Employee Count",110,
"2018","Timaru District","S952 Funeral, Crematorium and Cemetery Services","Geographic Units",6,
"2018","Timaru District","S952 Funeral, Crematorium and Cemetery Services","Employee Count",25,
"2018","Timaru District","S953 Other Personal Services","Geographic Units",21,
"2018","Timaru District","S953 Other Personal Services","Employee Count",50,
"2018","Timaru District","S941 Automotive Repair and Maintenance","Geographic Units",84,
"2018","Timaru District","S941 Automotive Repair and Maintenance","Employee Count",200,
"2018","Timaru District","S942 Machinery and Equipment Repair and Maintenance","Geographic Units",30,
"2018","Timaru District","S942 Machinery and Equipment Repair and Maintenance","Employee Count",75,
"2018","Timaru District","S949 Other Repair and Maintenance","Geographic Units",6,
"2018","Timaru District","S949 Other Repair and Maintenance","Employee Count",3,
"2018","Timaru District","R912 Horse and Dog Racing Activities","Geographic Units",6,
"2018","Timaru District","R912 Horse and Dog Racing Activities","Employee Count",30,
"2018","Timaru District","R913 Amusement and Other Recreation Activities","Geographic Units",9,
"2018","Timaru District","R913 Amusement and Other Recreation Activities","Employee Count",35,
"2018","Timaru District","R920 Gambling Activities","Geographic Units",3,
"2018","Timaru District","R920 Gambling Activities","Employee Count",3,
"2018","Timaru District","R892 Parks and Gardens Operations","Geographic Units",3,
"2018","Timaru District","R892 Parks and Gardens Operations","Employee Count",30,
"2018","Timaru District","R900 Creative and Performing Arts Activities","Geographic Units",18,
"2018","Timaru District","R900 Creative and Performing Arts Activities","Employee Count",15,
"2018","Timaru District","R911 Sport and Physical Recreation Activities","Geographic Units",60,
"2018","Timaru District","R911 Sport and Physical Recreation Activities","Employee Count",100,
"2018","Timaru District","Q871 Child Care Services","Geographic Units",6,
"2018","Timaru District","Q871 Child Care Services","Employee Count",40,
"2018","Timaru District","Q879 Other Social Assistance Services","Geographic Units",21,
"2018","Timaru District","Q879 Other Social Assistance Services","Employee Count",330,
"2018","Timaru District","R891 Museum Operation","Geographic Units",6,
"2018","Timaru District","R891 Museum Operation","Employee Count",20,
"2018","Timaru District","Q853 Allied Health Services","Geographic Units",75,
"2018","Timaru District","Q853 Allied Health Services","Employee Count",460,
"2018","Timaru District","Q859 Other Health Care Services","Geographic Units",9,
"2018","Timaru District","Q859 Other Health Care Services","Employee Count",35,
"2018","Timaru District","Q860 Residential Care Services","Geographic Units",12,
"2018","Timaru District","Q860 Residential Care Services","Employee Count",780,
"2018","Timaru District","Q840 Hospitals","Geographic Units",6,
"2018","Timaru District","Q840 Hospitals","Employee Count",970,
"2018","Timaru District","Q851 Medical Services","Geographic Units",72,
"2018","Timaru District","Q851 Medical Services","Employee Count",190,
"2018","Timaru District","Q852 Pathology and Diagnostic Imaging Services","Geographic Units",3,
"2018","Timaru District","Q852 Pathology and Diagnostic Imaging Services","Employee Count",15,
"2018","Timaru District","P810 Tertiary Education","Geographic Units",3,
"2018","Timaru District","P810 Tertiary Education","Employee Count",90,
"2018","Timaru District","P821 Adult, Community and Other Education","Geographic Units",21,
"2018","Timaru District","P821 Adult, Community and Other Education","Employee Count",120,
"2018","Timaru District","P822 Educational Support Services","Geographic Units",3,
"2018","Timaru District","P822 Educational Support Services","Employee Count",3,
"2018","Timaru District","O772 Regulatory Services","Geographic Units",12,
"2018","Timaru District","O772 Regulatory Services","Employee Count",80,
"2018","Timaru District","P801 Preschool Education","Geographic Units",30,
"2018","Timaru District","P801 Preschool Education","Employee Count",230,
"2018","Timaru District","P802 School Education","Geographic Units",30,
"2018","Timaru District","P802 School Education","Employee Count",1050,
"2018","Timaru District","O754 Justice","Geographic Units",3,
"2018","Timaru District","O754 Justice","Employee Count",15,
"2018","Timaru District","O760 Defence","Geographic Units",0,
"2018","Timaru District","O760 Defence","Employee Count",12,
"2018","Timaru District","O771 Public Order and Safety Services","Geographic Units",21,
"2018","Timaru District","O771 Public Order and Safety Services","Employee Count",200,
"2018","Timaru District","N732 Packaging and Labelling Services","Geographic Units",3,
"2018","Timaru District","N732 Packaging and Labelling Services","Employee Count",95,
"2018","Timaru District","O751 Central Government Administration","Geographic Units",6,
"2018","Timaru District","O751 Central Government Administration","Employee Count",120,
"2018","Timaru District","O753 Local Government Administration","Geographic Units",12,
"2018","Timaru District","O753 Local Government Administration","Employee Count",260,
"2018","Timaru District","N722 Travel Agency Services","Geographic Units",15,
"2018","Timaru District","N722 Travel Agency Services","Employee Count",35,
"2018","Timaru District","N729 Other Administrative Services","Geographic Units",42,
"2018","Timaru District","N729 Other Administrative Services","Employee Count",110,
"2018","Timaru District","N731 Building Cleaning, Pest Control and Gardening Services","Geographic Units",69,
"2018","Timaru District","N731 Building Cleaning, Pest Control and Gardening Services","Employee Count",250,
"2018","Timaru District","M699 Other Professional, Scientific and Technical Services","Geographic Units",6,
"2018","Timaru District","M699 Other Professional, Scientific and Technical Services","Employee Count",3,
"2018","Timaru District","M700 Computer System Design and Related Services","Geographic Units",33,
"2018","Timaru District","M700 Computer System Design and Related Services","Employee Count",140,
"2018","Timaru District","N721 Employment Services","Geographic Units",3,
"2018","Timaru District","N721 Employment Services","Employee Count",320,
"2018","Timaru District","M694 Advertising Services","Geographic Units",3,
"2018","Timaru District","M694 Advertising Services","Employee Count",3,
"2018","Timaru District","M696 Management and Related Consulting Services","Geographic Units",84,
"2018","Timaru District","M696 Management and Related Consulting Services","Employee Count",120,
"2018","Timaru District","M697 Veterinary Services","Geographic Units",12,
"2018","Timaru District","M697 Veterinary Services","Employee Count",85,
"2018","Timaru District","M691 Scientific Research Services","Geographic Units",6,
"2018","Timaru District","M691 Scientific Research Services","Employee Count",0,
"2018","Timaru District","M692 Architectural, Engineering and Technical Services","Geographic Units",81,
"2018","Timaru District","M692 Architectural, Engineering and Technical Services","Employee Count",150,
