Year,Area,Ethnic group,Age group,Sex,Value,Flags
"2018","Timaru District","Total people","Median age","Male",43,
"2018","Timaru District","Total people","94 years","Male",15,
"2018","Timaru District","Total people","94 years","Female",30,
"2018","Timaru District","Total people","93 years","Female",54,
"2018","Timaru District","Total people","93 years","Male",18,
"2018","Timaru District","Total people","92 years","Male",18,
"2018","Timaru District","Total people","92 years","Female",45,
"2018","Timaru District","Total people","91 years","Female",54,
"2018","Timaru District","Total people","91 years","Male",27,
"2018","Timaru District","Total people","90 years","Male",51,
"2018","Timaru District","Total people","90 years","Female",72,
"2018","Timaru District","Total people","89 years","Female",66,
"2018","Timaru District","Total people","89 years","Male",54,
"2018","Timaru District","Total people","88 years","Male",54,
"2018","Timaru District","Total people","88 years","Female",99,
"2018","Timaru District","Total people","87 years","Female",102,
"2018","Timaru District","Total people","87 years","Male",75,
"2018","Timaru District","Total people","86 years","Male",78,
"2018","Timaru District","Total people","86 years","Female",105,
"2018","Timaru District","Total people","85 years","Female",105,
"2018","Timaru District","Total people","85 years","Male",93,
"2018","Timaru District","Total people","84 years","Male",96,
"2018","Timaru District","Total people","84 years","Female",129,
"2018","Timaru District","Total people","83 years","Female",135,
"2018","Timaru District","Total people","83 years","Male",126,
"2018","Timaru District","Total people","82 years","Male",129,
"2018","Timaru District","Total people","82 years","Female",171,
"2018","Timaru District","Total people","81 years","Female",174,
"2018","Timaru District","Total people","81 years","Male",111,
"2018","Timaru District","Total people","80 years","Male",117,
"2018","Timaru District","Total people","80 years","Female",159,
"2018","Timaru District","Total people","79 years","Female",180,
"2018","Timaru District","Total people","79 years","Male",156,
"2018","Timaru District","Total people","78 years","Male",150,
"2018","Timaru District","Total people","78 years","Female",210,
"2018","Timaru District","Total people","77 years","Female",219,
"2018","Timaru District","Total people","77 years","Male",183,
"2018","Timaru District","Total people","76 years","Male",207,
"2018","Timaru District","Total people","76 years","Female",234,
"2018","Timaru District","Total people","75 years","Female",183,
"2018","Timaru District","Total people","75 years","Male",195,
"2018","Timaru District","Total people","74 years","Male",207,
"2018","Timaru District","Total people","74 years","Female",219,
"2018","Timaru District","Total people","73 years","Female",231,
"2018","Timaru District","Total people","73 years","Male",213,
"2018","Timaru District","Total people","72 years","Male",204,
"2018","Timaru District","Total people","72 years","Female",243,
"2018","Timaru District","Total people","71 years","Female",285,
"2018","Timaru District","Total people","71 years","Male",297,
"2018","Timaru District","Total people","70 years","Male",279,
"2018","Timaru District","Total people","70 years","Female",303,
"2018","Timaru District","Total people","69 years","Female",327,
"2018","Timaru District","Total people","69 years","Male",282,
"2018","Timaru District","Total people","68 years","Male",294,
"2018","Timaru District","Total people","68 years","Female",303,
"2018","Timaru District","Total people","67 years","Female",315,
"2018","Timaru District","Total people","67 years","Male",297,
"2018","Timaru District","Total people","66 years","Male",306,
"2018","Timaru District","Total people","66 years","Female",309,
"2018","Timaru District","Total people","65 years","Female",333,
"2018","Timaru District","Total people","65 years","Male",300,
"2018","Timaru District","Total people","64 years","Male",285,
"2018","Timaru District","Total people","64 years","Female",294,
"2018","Timaru District","Total people","63 years","Female",288,
"2018","Timaru District","Total people","63 years","Male",330,
"2018","Timaru District","Total people","62 years","Male",291,
"2018","Timaru District","Total people","62 years","Female",312,
"2018","Timaru District","Total people","61 years","Female",303,
"2018","Timaru District","Total people","61 years","Male",303,
"2018","Timaru District","Total people","60 years","Male",315,
"2018","Timaru District","Total people","60 years","Female",345,
"2018","Timaru District","Total people","59 years","Female",339,
"2018","Timaru District","Total people","59 years","Male",330,
"2018","Timaru District","Total people","58 years","Male",339,
"2018","Timaru District","Total people","58 years","Female",330,
"2018","Timaru District","Total people","57 years","Female",369,
"2018","Timaru District","Total people","57 years","Male",351,
"2018","Timaru District","Total people","56 years","Male",351,
"2018","Timaru District","Total people","56 years","Female",366,
"2018","Timaru District","Total people","55 years","Female",366,
"2018","Timaru District","Total people","55 years","Male",345,
"2018","Timaru District","Total people","54 years","Male",336,
"2018","Timaru District","Total people","54 years","Female",348,
"2018","Timaru District","Total people","53 years","Female",363,
"2018","Timaru District","Total people","53 years","Male",291,
"2018","Timaru District","Total people","52 years","Male",312,
"2018","Timaru District","Total people","52 years","Female",345,
"2018","Timaru District","Total people","51 years","Female",336,
"2018","Timaru District","Total people","51 years","Male",285,
"2018","Timaru District","Total people","50 years","Male",300,
"2018","Timaru District","Total people","50 years","Female",330,
"2018","Timaru District","Total people","49 years","Female",315,
"2018","Timaru District","Total people","49 years","Male",291,
"2018","Timaru District","Total people","48 years","Male",288,
"2018","Timaru District","Total people","48 years","Female",336,
"2018","Timaru District","Total people","47 years","Female",309,
"2018","Timaru District","Total people","47 years","Male",300,
"2018","Timaru District","Total people","46 years","Male",297,
"2018","Timaru District","Total people","46 years","Female",324,
"2018","Timaru District","Total people","45 years","Female",318,
"2018","Timaru District","Total people","45 years","Male",309,
"2018","Timaru District","Total people","44 years","Male",264,
"2018","Timaru District","Total people","44 years","Female",312,
"2018","Timaru District","Total people","43 years","Female",297,
"2018","Timaru District","Total people","43 years","Male",246,
"2018","Timaru District","Total people","42 years","Male",261,
"2018","Timaru District","Total people","42 years","Female",273,
"2018","Timaru District","Total people","41 years","Female",246,
"2018","Timaru District","Total people","41 years","Male",258,
"2018","Timaru District","Total people","40 years","Male",231,
"2018","Timaru District","Total people","40 years","Female",246,
"2018","Timaru District","Total people","39 years","Female",246,
"2018","Timaru District","Total people","39 years","Male",228,
"2018","Timaru District","Total people","38 years","Male",240,
"2018","Timaru District","Total people","38 years","Female",255,
"2018","Timaru District","Total people","37 years","Female",225,
"2018","Timaru District","Total people","37 years","Male",216,
"2018","Timaru District","Total people","36 years","Male",231,
"2018","Timaru District","Total people","36 years","Female",243,
"2018","Timaru District","Total people","35 years","Female",207,
"2018","Timaru District","Total people","35 years","Male",234,
"2018","Timaru District","Total people","34 years","Male",219,
"2018","Timaru District","Total people","34 years","Female",240,
"2018","Timaru District","Total people","33 years","Female",252,
"2018","Timaru District","Total people","33 years","Male",228,
"2018","Timaru District","Total people","32 years","Male",258,
"2018","Timaru District","Total people","32 years","Female",246,
"2018","Timaru District","Total people","31 years","Female",228,
"2018","Timaru District","Total people","31 years","Male",264,
"2018","Timaru District","Total people","30 years","Male",273,
"2018","Timaru District","Total people","30 years","Female",249,
"2018","Timaru District","Total people","29 years","Female",303,
"2018","Timaru District","Total people","29 years","Male",249,
"2018","Timaru District","Total people","28 years","Male",261,
"2018","Timaru District","Total people","28 years","Female",294,
"2018","Timaru District","Total people","27 years","Female",294,
"2018","Timaru District","Total people","27 years","Male",309,
"2018","Timaru District","Total people","26 years","Male",243,
"2018","Timaru District","Total people","26 years","Female",249,
"2018","Timaru District","Total people","25 years","Female",249,
"2018","Timaru District","Total people","25 years","Male",291,
"2018","Timaru District","Total people","24 years","Male",294,
"2018","Timaru District","Total people","24 years","Female",222,
"2018","Timaru District","Total people","23 years","Female",243,
"2018","Timaru District","Total people","23 years","Male",258,
"2018","Timaru District","Total people","22 years","Male",231,
"2018","Timaru District","Total people","22 years","Female",207,
"2018","Timaru District","Total people","21 years","Female",192,
"2018","Timaru District","Total people","21 years","Male",216,
"2018","Timaru District","Total people","20 years","Male",228,
"2018","Timaru District","Total people","20 years","Female",156,
"2018","Timaru District","Total people","19 years","Female",183,
"2018","Timaru District","Total people","19 years","Male",243,
"2018","Timaru District","Total people","18 years","Male",252,
"2018","Timaru District","Total people","18 years","Female",228,
"2018","Timaru District","Total people","17 years","Female",276,
"2018","Timaru District","Total people","17 years","Male",282,
"2018","Timaru District","Total people","16 years","Male",303,
"2018","Timaru District","Total people","16 years","Female",276,
"2018","Timaru District","Total people","15 years","Female",276,
"2018","Timaru District","Total people","15 years","Male",288,
"2018","Timaru District","Total people","14 years","Male",282,
"2018","Timaru District","Total people","14 years","Female",285,
"2018","Timaru District","Total people","13 years","Female",258,
"2018","Timaru District","Total people","13 years","Male",246,
"2018","Timaru District","Total people","12 years","Male",303,
"2018","Timaru District","Total people","12 years","Female",255,
"2018","Timaru District","Total people","11 years","Female",282,
"2018","Timaru District","Total people","11 years","Male",294,
"2018","Timaru District","Total people","10 years","Male",318,
"2018","Timaru District","Total people","10 years","Female",303,
"2018","Timaru District","Total people","Nine years","Female",267,
"2018","Timaru District","Total people","Nine years","Male",318,
"2018","Timaru District","Total people","Eight years","Male",312,
"2018","Timaru District","Total people","Eight years","Female",285,
"2018","Timaru District","Total people","Seven years","Female",270,
"2018","Timaru District","Total people","Seven years","Male",312,
"2018","Timaru District","Total people","Six years","Male",297,
"2018","Timaru District","Total people","Less than one year","Male",255,
"2018","Timaru District","Total people","Less than one year","Female",234,
"2018","Timaru District","Total people","One year","Male",282,
"2018","Timaru District","Total people","One year","Female",243,
"2018","Timaru District","Total people","Two years","Male",258,
"2018","Timaru District","Total people","Two years","Female",249,
"2018","Timaru District","Total people","Three years","Male",264,
"2018","Timaru District","Total people","Three years","Female",264,
"2018","Timaru District","Total people","Four years","Male",288,
"2018","Timaru District","Total people","Four years","Female",237,
"2018","Timaru District","Total people","Five years","Male",294,
"2018","Timaru District","Total people","Five years","Female",276,
"2018","Timaru District","Total people","Six years","Female",258,
"2018","Timaru District","Total people","Median age","Female",46.2,
