Year,Ethnic group,Area,Sex,Age group,Value,Flags
"2018","Total people","Canterbury Region","Male","19 years",4122,
"2018","Total people","Canterbury Region","Male","18 years",4146,
"2018","Total people","Canterbury Region","Male","17 years",3798,
"2018","Total people","Canterbury Region","Male","16 years",3711,
"2018","Total people","Canterbury Region","Male","15 years",3537,
"2018","Total people","Canterbury Region","Male","14 years",3642,
"2018","Total people","Canterbury Region","Male","13 years",3606,
"2018","Total people","Canterbury Region","Female","13 years",3435,
"2018","Total people","Canterbury Region","Female","14 years",3546,
"2018","Total people","Canterbury Region","Female","15 years",3435,
"2018","Total people","Canterbury Region","Female","16 years",3609,
"2018","Total people","Canterbury Region","Female","17 years",3597,
"2018","Total people","Canterbury Region","Female","18 years",3540,
"2018","Total people","Canterbury Region","Female","19 years",3498,
