Area,Status in employment,Year,Sex,Age group,Hours worked in employment per week,Value,Flags
"Timaru District","Total people - status in employment","2018","Male","Total people - age group","1-9 hours worked",462,
"Timaru District","Total people - status in employment","2018","Female","Total people - age group","1-9 hours worked",858,
"Timaru District","Total people - status in employment","2018","Male","Total people - age group","10-19 hours worked",474,
"Timaru District","Total people - status in employment","2018","Female","Total people - age group","10-19 hours worked",1470,
"Timaru District","Total people - status in employment","2018","Male","Total people - age group","20-29 hours worked",504,
"Timaru District","Total people - status in employment","2018","Female","Total people - age group","20-29 hours worked",1980,
"Timaru District","Total people - status in employment","2018","Male","Total people - age group","30-39 hours worked",816,
"Timaru District","Total people - status in employment","2018","Female","Total people - age group","30-39 hours worked",2211,
"Timaru District","Total people - status in employment","2018","Male","Total people - age group","40-49 hours worked",6402,
"Timaru District","Total people - status in employment","2018","Female","Total people - age group","40-49 hours worked",3669,
"Timaru District","Total people - status in employment","2018","Male","Total people - age group","50-59 hours worked",2652,
"Timaru District","Total people - status in employment","2018","Female","Total people - age group","50-59 hours worked",657,
"Timaru District","Total people - status in employment","2018","Male","Total people - age group","60 hours or more worked",1659,
"Timaru District","Total people - status in employment","2018","Female","Total people - age group","60 hours or more worked",390,
"Timaru District","Total people - status in employment","2018","Male","Total people - age group","Not elsewhere included",0,
"Timaru District","Total people - status in employment","2018","Female","Total people - age group","Not elsewhere included",0,
"Timaru District","Total people - status in employment","2018","Male","15-19 years","1-9 hours worked",156,
"Timaru District","Total people - status in employment","2018","Female","15-19 years","1-9 hours worked",159,
"Timaru District","Total people - status in employment","2018","Male","15-19 years","10-19 hours worked",126,
"Timaru District","Total people - status in employment","2018","Female","15-19 years","10-19 hours worked",174,
"Timaru District","Total people - status in employment","2018","Male","15-19 years","20-29 hours worked",45,
"Timaru District","Total people - status in employment","2018","Female","15-19 years","20-29 hours worked",75,
"Timaru District","Total people - status in employment","2018","Male","15-19 years","30-39 hours worked",45,
"Timaru District","Total people - status in employment","2018","Female","15-19 years","30-39 hours worked",84,
"Timaru District","Total people - status in employment","2018","Male","15-19 years","40-49 hours worked",270,
"Timaru District","Total people - status in employment","2018","Female","15-19 years","40-49 hours worked",120,
"Timaru District","Total people - status in employment","2018","Male","15-19 years","50-59 hours worked",75,
"Timaru District","Total people - status in employment","2018","Female","15-19 years","50-59 hours worked",18,
"Timaru District","Total people - status in employment","2018","Male","15-19 years","60 hours or more worked",24,
"Timaru District","Total people - status in employment","2018","Female","15-19 years","60 hours or more worked",9,
"Timaru District","Total people - status in employment","2018","Male","15-19 years","Not elsewhere included",0,
"Timaru District","Total people - status in employment","2018","Female","15-19 years","Not elsewhere included",0,
"Timaru District","Total people - status in employment","2018","Male","20-24 years","1-9 hours worked",24,
"Timaru District","Total people - status in employment","2018","Female","20-24 years","1-9 hours worked",24,
"Timaru District","Total people - status in employment","2018","Male","20-24 years","10-19 hours worked",27,
"Timaru District","Total people - status in employment","2018","Female","20-24 years","10-19 hours worked",60,
"Timaru District","Total people - status in employment","2018","Male","20-24 years","20-29 hours worked",39,
"Timaru District","Total people - status in employment","2018","Female","20-24 years","20-29 hours worked",72,
"Timaru District","Total people - status in employment","2018","Male","20-24 years","30-39 hours worked",72,
"Timaru District","Total people - status in employment","2018","Female","20-24 years","30-39 hours worked",156,
"Timaru District","Total people - status in employment","2018","Male","20-24 years","40-49 hours worked",615,
"Timaru District","Total people - status in employment","2018","Female","20-24 years","40-49 hours worked",378,
"Timaru District","Total people - status in employment","2018","Male","20-24 years","50-59 hours worked",201,
"Timaru District","Total people - status in employment","2018","Female","20-24 years","50-59 hours worked",39,
"Timaru District","Total people - status in employment","2018","Male","20-24 years","60 hours or more worked",90,
"Timaru District","Total people - status in employment","2018","Female","20-24 years","60 hours or more worked",15,
"Timaru District","Total people - status in employment","2018","Male","20-24 years","Not elsewhere included",0,
"Timaru District","Total people - status in employment","2018","Female","20-24 years","Not elsewhere included",0,
"Timaru District","Total people - status in employment","2018","Male","25-29 years","1-9 hours worked",12,
"Timaru District","Total people - status in employment","2018","Female","25-29 years","1-9 hours worked",42,
"Timaru District","Total people - status in employment","2018","Male","25-29 years","10-19 hours worked",12,
"Timaru District","Total people - status in employment","2018","Female","25-29 years","10-19 hours worked",93,
"Timaru District","Total people - status in employment","2018","Male","25-29 years","20-29 hours worked",21,
"Timaru District","Total people - status in employment","2018","Female","25-29 years","20-29 hours worked",126,
"Timaru District","Total people - status in employment","2018","Male","25-29 years","30-39 hours worked",69,
"Timaru District","Total people - status in employment","2018","Female","25-29 years","30-39 hours worked",174,
"Timaru District","Total people - status in employment","2018","Male","25-29 years","40-49 hours worked",678,
