Year,Area,ANZSIC06,Measure,Value,Flags
"2018","Canterbury Region","Total Industry","Geographic Units",72237,
"2018","Canterbury Region","A Agriculture, Forestry and Fishing","Geographic Units",9843,
"2018","Canterbury Region","B Mining","Geographic Units",78,
"2018","Canterbury Region","F373 Furniture, Floor Coverings and Other Goods Wholesaling","Geographic Units",498,
"2018","Canterbury Region","J601 Libraries and Archives","Geographic Units",45,
"2018","Canterbury Region","J542 Software Publishing","Geographic Units",24,
"2018","Canterbury Region","G411 Supermarket and Grocery Stores","Geographic Units",438,
"2018","Canterbury Region","L661 Motor Vehicle and Transport Equipment Rental and Hiring","Geographic Units",270,
"2018","Canterbury Region","K642 Auxiliary Insurance Services","Geographic Units",333,
"2018","Canterbury Region","K622 Depository Financial Intermediation","Geographic Units",117,
"2018","Canterbury Region","S955 Civic, Professional and Other Interest Group Services","Geographic Units",555,
"2018","Canterbury Region","P821 Adult, Community and Other Education","Geographic Units",447,
"2018","Canterbury Region","O754 Justice","Geographic Units",6,
"2018","Canterbury Region","S952 Funeral, Crematorium and Cemetery Services","Geographic Units",72,
"2018","Canterbury Region","S953 Other Personal Services","Geographic Units",303,
"2018","Canterbury Region","S954 Religious Services","Geographic Units",192,
"2018","Canterbury Region","S942 Machinery and Equipment Repair and Maintenance","Geographic Units",327,
"2018","Canterbury Region","S949 Other Repair and Maintenance","Geographic Units",81,
"2018","Canterbury Region","S951 Personal Care Services","Geographic Units",627,
"2018","Canterbury Region","R913 Amusement and Other Recreation Activities","Geographic Units",156,
"2018","Canterbury Region","R920 Gambling Activities","Geographic Units",18,
"2018","Canterbury Region","S941 Automotive Repair and Maintenance","Geographic Units",1026,
"2018","Canterbury Region","R900 Creative and Performing Arts Activities","Geographic Units",261,
"2018","Canterbury Region","R911 Sport and Physical Recreation Activities","Geographic Units",663,
"2018","Canterbury Region","R912 Horse and Dog Racing Activities","Geographic Units",159,
"2018","Canterbury Region","Q879 Other Social Assistance Services","Geographic Units",228,
"2018","Canterbury Region","R891 Museum Operation","Geographic Units",30,
"2018","Canterbury Region","R892 Parks and Gardens Operations","Geographic Units",33,
"2018","Canterbury Region","Q859 Other Health Care Services","Geographic Units",123,
"2018","Canterbury Region","Q860 Residential Care Services","Geographic Units",246,
"2018","Canterbury Region","Q871 Child Care Services","Geographic Units",120,
"2018","Canterbury Region","Q851 Medical Services","Geographic Units",1026,
"2018","Canterbury Region","Q852 Pathology and Diagnostic Imaging Services","Geographic Units",36,
"2018","Canterbury Region","Q853 Allied Health Services","Geographic Units",1095,
"2018","Canterbury Region","P810 Tertiary Education","Geographic Units",78,
"2018","Canterbury Region","P822 Educational Support Services","Geographic Units",63,
"2018","Canterbury Region","Q840 Hospitals","Geographic Units",45,
"2018","Canterbury Region","O772 Regulatory Services","Geographic Units",63,
"2018","Canterbury Region","P801 Preschool Education","Geographic Units",378,
